"son_name","type","objectID","parent_name","parent_type","parentId","name","type"
"Stuttgart Burgholzhof","locality","0d2435cb-c5ea-4a68-b095-abfb5e16b7fb","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Zazenhausen","locality","2cf6c8f0-424f-43d0-ad83-b93f94e7caed","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Bad Cannstatt","locality","303d984f-c067-4646-8543-854e016b9ba0","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Neunkirchen/Saar","locality","30d94d82-da95-4698-bf83-11246d36ac9d","Neunkirchen","department","4a8fa081-f57a-4fda-aac8-a3be414b1327","Neunkirchen","locality"
"Neunkirchen/Saar","locality","30d94d82-da95-4698-bf83-11246d36ac9d","Neunkirchen","department","c971dd76-7b77-4d83-b321-4073c1069157","Neunkirchen","locality"
"Stuttgart Bergheim","locality","36e1c0f0-94c6-4d4c-bc38-7c17daa0dc3c","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Hedelfingen","locality","3f1cc49a-d316-496c-adec-9aff3f7e8e6d","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Fasanenhof","locality","4c617b6a-2f44-45c7-b186-692e13627391","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Neuwirtshaus","locality","4d5d6aba-6351-4e88-b2ed-9adbc6d17699","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Plieningen","locality","521e6841-472d-4303-aff8-eb0c65602a11","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Mönchfeld","locality","ad7bfdb2-f47b-47d3-8cdf-3edb5caf7009","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Stuttgart-West","locality","9408b1f2-53a9-4317-aaff-909c57063f8b","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Frauenkopf","locality","e9d660f9-2e3c-4ece-a83c-a89977197cee","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Rotenberg","locality","01d6bba2-6cac-4cd5-a7e4-773d623583b0","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Lederberg","locality","1c5d15c5-7309-4d1c-8266-f71e28e0225c","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Riedenberg","locality","222a8eb2-5bc5-4ce6-8498-2a8d4a83f34d","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Vaihingen","locality","2584164b-d5fc-4bed-bd1e-eea097f5284a","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Stammheim","locality","3a2e9a2a-4bd7-47fa-9b6f-116001f145cf","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Kaltental","locality","3f9c387a-f38f-42af-94ba-5c7efdb6f029","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Stuttgart-Mitte","locality","6c53a780-4939-4d88-a5a1-2fdf86af3afd","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Botnang","locality","a61d2a78-a526-4557-bdae-5137a107adbd","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Hoffeld","locality","ebb21193-25d8-4a34-89f8-1d0fb4e2abb1","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Birkach","locality","ececea10-fecc-4c69-b77d-d03e10895b70","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Wangen","locality","f1e8f7ce-dd1d-48b6-bca4-85a40a3e3da4","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Feuerbach","locality","fd8d666b-bc75-43f4-9f91-c0ecf061f362","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
